URL,LIKES,SHARES
http://www.gmofreeusa.org/food-testing/kelloggs/kelloggs-froot-loops/,8515,4561
http://www.gmofreeusa.org/take-action/boycott-gerber/,15,24
http://www.gmofreeusa.org/education/gmo-intro/,51,63
http://www.gmofreeusa.org/research/gmo-safety/,51,79
http://www.gmofreeusa.org/take-action/boycott-kelloggs-campaign/boycotts-kelloggs-consumers/,63,75
http://www.gmofreeusa.org/take-action/boycott-scotts-gmo-grass-campaign/,7,5
http://www.gmofreeusa.org/enigma-portfolio/boycott-kelloggs-2/,12,12
http://www.gmofreeusa.org/news/,2,2
http://www.gmofreeusa.org/take-action/panera-remove-gmos-campaign/,10,18
http://www.gmofreeusa.org/food-testing/gerber-lil-crunchies/,14237,7183
http://www.gmofreeusa.org/food-testing/trader-joes/,325,241
http://gmoinside.org/starbucks/,1704,1640
http://gmoinside.org/sabra/,129,312
http://gmoinside.org/gmo-timeline-a-history-genetically-modified-foods/,238,545
http://gmoinside.org/cheerios/,307,348
http://gmoinside.org/caution-gmo-inside-seven-ingredients-to-watch-out-for/,79,153
http://gmoinside.org/faqs/,268,590
http://gmoinside.org/gmo-inside-announces-victory-consumers-hersheys-milk-chocolate-kisses-go-non-gmo-end-2015/,70,25
http://gmoinside.org/launch-thanksgiving/,185,192
http://gmoinside.org/take-action/tell-dean-foods-use-non-gmo-feed-cows/,332,721
http://gmoinside.org/launch-labels/,677,659
http://gmoinside.org/gmos-in-animal-feed/,142,290
http://gmoinside.org/top-5-gmo-concerns/,22,48
http://drrimatruthreports.com/david-and-goliath-essential-oil-science-vs-industrial-radiation-nancy-weber-rn/,0,1
http://drrimatruthreports.com/category/law/page/2/,0,0
http://drrimatruthreports.com/category/food-and-freedom-ejournal/,0,0
http://drrimatruthreports.com/why-buy-organic/,1,2
http://drrimatruthreports.com/bad-apples-gmos-and-the-precautionary-principle/,8,14
http://drrimatruthreports.com/hiv-scientific-fraud-concocted-to-cover-up-gmos-deadly-impact/,0,1
http://drrimatruthreports.com/dangers-of-genetically-modified-foods/,8,2
http://drrimatruthreports.com/general-berts-world-risk-assessment-genomicide-warning-2/,0,0
http://drrimatruthreports.com/category/buy-cott/,0,0
http://drrimatruthreports.com/category/privacy/,0,0
http://www.truth-out.org/news/item/29261-usda-approves-untested-inherently-risky-gmo-apple,80,35
http://www.truth-out.org/opinion/item/29445-consumers-want-gmo-labels-not-barcodes,20,16
http://www.truth-out.org/news/item/32067-nearly-100-000-german-beekeepers-demand-a-ban-on-gmos,8119,2948
http://www.truth-out.org/news/item/27889-gmo-contamination-denial-controlling-science,726,562
http://www.truth-out.org/opinion/item/28457-twelve-ways-to-drive-gmos-and-monsanto-s-roundup-off-the-market,147,158
http://www.truth-out.org/news/item/31935-house-ag-committee-says-no-to-gmo-labeling-what-s-next,310,301
http://www.truth-out.org/news/item/31664-meet-the-new-gmo-mosquito-millions-carrying-the-kill-switch-gene-already-released,3429,3272
http://www.truth-out.org/news/item/32107-mexico-s-gmo-corn-ban-and-glyphosate-cancer-findings,2029,1167
http://www.truth-out.org/opinion/item/32946-gmo-safety-physicians-take-on-the-biotech-industry,2754,1555
http://www.truth-out.org/opinion/item/32608-growing-doubt-a-scientist-s-experience-of-gmos,1526,987
http://www.truth-out.org/opinion/item/29287-eat-at-your-own-risk-flawed-fda-risk-assessments-strengthen-arguments-for-labeling-gmos,1302,213
http://www.truth-out.org/buzzflash/commentary/neil-young-blasts-starbucks-for-supporting-monsanto-and-gmos-in-rock-anthem/19352-neil-young-blasts-starbucks-for-supporting-monsanto-and-gmos-in-rock-anthem,14,3
http://www.truth-out.org/news/item/30879-monsanto-s-worst-fear-may-be-coming-true,6157,2137
http://www.truth-out.org/speakout/item/30340-how-the-media-fell-for-a-gmo-front-group-attack-on-dr-oz,1116,79
http://www.truth-out.org/news/item/27446-did-gmo-corn-really-kill-all-those-bees-in-canada,1610,1708
http://www.truth-out.org/speakout/item/29292-media-reports-that-gmo-science-is-settled-are-flat-out-wrong,1,3
http://www.truth-out.org/buzzflash/commentary/no-i-won-t-drink-that-frackin-water/19242-no-i-won-t-drink-that-frackin-water,1,10
http://www.truth-out.org/news/item/27544-dramatic-correlation-shown-between-gmos-and-22-diseases,1311,992
http://www.truth-out.org/news/item/33296-how-monsanto-solicited-academics-to-bolster-their-pro-gmo-propaganda-using-taxpayer-dollars,890,711
http://www.truth-out.org/opinion/item/29133-why-does-the-dairy-industry-oppose-gmo-labels,50,24
